,gyrMag-min,gyrMag-max,gyrMag-mean,gyrMag-median,gyrMag-std,gyrMag-IQR,gyrMag-RMS,gyrMag-MCR,gyrMag-Kurt,gyrMag-Skew,gyrMag-frEnergy,gyrMag-PeakFreq,gyrMag-frDmEntroPy
0,155.925,168.395,163.174,165.446,5.016,11.054,163.25,0.02,-1.54,-0.443,8.872,0.2,2.531
1,153.877,154.554,154.149,154.138,0.13,0.13,154.149,0.2,1.112,0.568,0.319,0.6,2.787
2,154.564,155.293,154.985,154.988,0.186,0.227,154.985,0.143,-0.62,-0.387,0.428,0.208,2.755
3,159.643,160.987,160.292,160.314,0.36,0.583,160.292,0.224,-1.014,0.118,0.883,1.042,2.81
4,153.679,154.322,154.045,154.084,0.148,0.168,154.045,0.143,0.188,-0.841,0.337,1.042,2.716
5,153.262,154.706,153.978,153.994,0.296,0.292,153.978,0.184,0.153,0.008,0.898,0.208,3.06
6,154.214,182.752,158.889,156.643,5.664,3.412,158.988,0.061,7.053,2.691,14.817,0.208,2.88
8,165.964,188.828,171.162,166.691,6.112,9.741,171.269,0.02,-0.072,0.939,11.529,0.2,2.523
9,158.355,161.077,160.197,160.33,0.518,0.56,160.198,0.14,2.025,-1.201,1.366,0.2,2.933
10,161.646,165.117,162.532,162.526,0.622,0.233,162.533,0.1,8.337,2.474,1.837,0.8,3.033
11,159.438,160.445,159.82,159.779,0.232,0.306,159.82,0.245,-0.059,0.644,0.536,1.042,2.694
12,153.83,154.595,154.134,154.127,0.177,0.207,154.134,0.184,0.122,0.413,0.375,0.208,2.621
13,160.913,161.773,161.193,161.159,0.232,0.392,161.193,0.22,-0.544,0.648,0.511,1.0,2.589
14,152.725,166.266,155.485,153.855,3.624,0.62,155.527,0.02,1.295,1.675,6.754,0.208,2.417
15,160.509,161.684,161.033,160.981,0.315,0.381,161.033,0.184,-0.739,0.349,0.702,1.25,2.685
16,163.985,188.773,174.418,171.72,8.443,15.841,174.618,0.02,-1.392,0.469,11.918,0.208,2.113
17,152.013,162.14,159.427,159.728,2.025,0.339,159.44,0.061,5.937,-2.285,5.13,0.417,2.84
18,159.584,164.246,162.701,162.801,0.737,0.542,162.702,0.388,6.094,-1.83,2.225,3.125,3.023
19,147.944,173.104,156.423,155.605,4.398,0.728,156.483,0.12,6.301,2.138,10.032,0.8,2.56
21,158.915,165.162,161.212,160.47,1.595,2.344,161.22,0.061,-0.569,0.897,3.462,0.208,2.675
22,158.997,180.422,163.338,160.498,4.874,5.772,163.41,0.08,2.275,1.599,11.345,0.2,2.747
23,159.288,163.499,161.338,161.533,0.97,0.729,161.341,0.082,0.098,-0.747,1.8,0.208,2.443
24,157.939,172.903,162.416,162.271,2.093,1.006,162.429,0.28,12.121,2.878,6.055,0.8,2.965
25,151.844,167.728,164.156,164.365,3.052,2.562,164.184,0.102,4.91,-1.951,7.028,0.417,2.671
26,161.628,164.529,163.149,163.185,0.779,1.171,163.15,0.184,-0.813,-0.081,1.882,0.208,2.842
27,161.611,165.883,164.021,164.158,0.81,1.111,164.023,0.204,0.574,-0.416,1.922,0.208,2.783
28,162.178,165.299,163.814,163.869,0.775,1.002,163.816,0.14,-0.692,-0.009,1.876,0.2,2.855
29,141.882,184.082,163.175,167.011,11.513,19.518,163.573,0.04,-0.962,-0.555,18.03,0.2,2.231
30,159.41,160.266,159.738,159.729,0.199,0.274,159.738,0.24,-0.035,0.746,0.483,1.2,2.814
31,159.276,160.361,159.889,159.897,0.253,0.346,159.889,0.18,0.063,-0.355,0.525,0.2,2.578
33,160.239,161.036,160.64,160.607,0.208,0.363,160.64,0.184,-0.983,0.301,0.436,1.042,2.619
34,141.68,233.228,181.365,168.836,26.408,36.619,183.239,0.082,-0.954,0.612,47.028,0.208,2.331
35,139.74,179.367,156.435,155.317,10.959,11.188,156.81,0.02,-0.508,0.579,20.526,0.208,2.451
36,163.257,176.743,167.288,165.533,3.355,4.102,167.321,0.04,0.386,1.286,7.061,0.2,2.674
37,161.351,165.674,162.704,162.585,0.873,0.826,162.706,0.347,2.504,1.464,2.446,0.625,2.934
38,151.375,166.571,160.868,160.672,4.149,5.397,160.921,0.082,-0.439,-0.547,6.827,0.208,2.309
39,155.735,382.777,314.168,353.128,85.516,167.478,325.37,0.082,-0.808,-1.032,206.115,0.208,2.793
41,167.786,187.937,178.872,183.581,9.247,19.608,179.106,0.02,-1.822,-0.294,14.178,0.2,2.304
42,125.04,183.231,174.633,181.577,16.993,1.531,175.441,0.02,2.678,-2.086,39.376,0.2,2.771
43,363.546,383.75,375.118,377.296,6.756,12.276,375.178,0.02,-1.28,-0.501,11.411,0.208,2.392
45,156.824,170.879,159.61,157.509,3.603,3.301,159.65,0.02,1.921,1.661,8.705,0.208,2.834
46,178.686,181.594,180.81,181.218,0.841,1.364,180.812,0.06,-0.363,-0.93,1.654,0.2,2.592
47,368.056,376.437,372.507,372.044,2.174,2.686,372.513,0.041,-0.484,0.099,3.62,0.208,2.348
48,179.775,223.934,218.695,221.245,9.307,2.337,218.889,0.02,10.289,-3.374,25.337,0.2,2.904
49,127.995,191.748,153.443,155.621,18.881,37.168,154.577,0.04,-1.25,0.1,29.492,0.2,2.256
50,191.31,253.743,228.692,235.244,19.084,28.781,229.471,0.04,-0.775,-0.748,23.65,0.2,1.745
51,160.579,180.295,167.603,167.091,4.436,3.88,167.66,0.02,0.909,1.142,10.285,0.208,2.783
52,160.962,220.545,183.195,170.351,21.861,43.981,184.469,0.02,-1.591,0.43,39.698,0.208,2.571
53,150.417,351.186,169.804,153.58,53.772,3.803,177.952,0.02,7.555,3.088,143.903,0.2,2.874
55,204.806,236.117,216.92,214.34,9.919,18.654,217.142,0.02,-1.181,0.515,13.701,0.208,1.972
56,141.296,209.497,185.152,191.504,23.739,46.063,186.637,0.082,-1.013,-0.721,49.198,0.208,2.624
57,183.025,190.951,189.275,189.424,1.258,0.675,189.279,0.06,12.456,-3.163,3.925,0.6,3.095
58,196.992,221.689,207.505,208.04,7.497,13.129,207.637,0.06,-1.161,0.212,12.787,0.2,2.328
59,174.845,186.816,180.152,180.678,3.735,6.575,180.19,0.041,-1.347,0.045,6.107,0.208,2.374
61,157.947,165.036,161.086,160.708,1.858,1.96,161.097,0.16,-0.383,0.639,3.294,0.2,2.331
62,153.589,199.084,169.025,161.031,13.323,17.167,169.539,0.02,-0.486,0.866,29.686,0.208,2.755
63,121.003,162.404,136.504,129.167,13.141,20.6,137.122,0.02,-0.95,0.789,23.073,0.2,2.362
64,147.954,185.807,170.827,168.967,9.239,10.259,171.072,0.08,0.534,-0.7,25.436,0.6,2.927
65,150.687,173.958,160.846,161.504,7.709,13.422,161.027,0.04,-1.271,0.187,10.623,0.2,2.105
66,154.65,158.914,156.76,156.931,0.853,1.007,156.762,0.163,0.471,-0.127,1.92,0.625,2.655
67,163.464,166.528,165.157,165.147,0.667,0.966,165.159,0.1,0.006,-0.304,1.249,0.4,2.439
68,217.294,225.7,222.112,221.732,1.573,1.35,222.117,0.163,1.596,-0.182,3.487,0.208,2.714
69,156.491,360.018,320.054,355.457,77.174,4.842,329.046,0.04,0.77,-1.663,169.891,0.2,2.685
70,177.794,183.092,180.596,181.049,1.714,3.391,180.604,0.02,-1.539,-0.108,2.732,0.208,2.268
71,151.814,196.595,172.751,172.244,13.225,20.375,173.247,0.02,-0.987,0.071,22.15,0.2,2.47
72,155.038,181.133,166.399,163.821,8.942,14.995,166.634,0.02,-1.458,0.188,13.212,0.208,2.22
73,94.754,182.498,147.567,140.054,19.836,21.844,148.868,0.14,0.46,-0.037,51.563,0.4,2.89
74,150.747,159.116,155.815,156.315,2.448,3.016,155.834,0.18,-0.529,-0.781,5.616,0.2,2.69
75,118.152,383.486,198.279,131.75,108.216,200.612,225.369,0.12,-0.916,1.007,282.96,0.2,2.917
